recipe_id,co2e_kg,n_ingr,n_sr,n_exact,n_gen,usda_pct,exact_mass_pct,generic_pct
RCP00050,41.853501,15,8,2,5,53.3,13.3,33.3
RCP00051,10.915849999999999,8,4,1,3,50.0,12.5,37.5
RCP00052,1.3513410000000001,8,5,1,2,62.5,12.5,25.0
RCP00053,2.537285,14,9,2,3,64.3,14.3,21.4
RCP00054,23.42349,14,6,3,5,42.9,21.4,35.7
RCP00055,12.3697,5,2,2,1,40.0,40.0,20.0
RCP00056,17.82534,8,4,2,2,50.0,25.0,25.0
RCP00057,1.34177,6,3,2,1,50.0,33.3,16.7
RCP00058,0.65911,5,3,1,1,60.0,20.0,20.0
RCP00059,21.107709999999997,13,9,1,3,69.2,7.7,23.1
RCP00060,12.785129999999997,11,7,1,3,63.6,9.1,27.3
RCP00061,10.003548,13,7,2,4,53.8,15.4,30.8
RCP00062,3.9884299999999997,13,7,2,4,53.8,15.4,30.8
RCP00063,2.7106700000000004,6,3,1,2,50.0,16.7,33.3
RCP00064,49.229214999999996,6,4,1,1,66.7,16.7,16.7
RCP00065,1.6445499999999997,8,4,1,3,50.0,12.5,37.5
RCP00066,20.958609999999997,12,6,2,4,50.0,16.7,33.3
RCP00067,16.0117005,12,4,4,4,33.3,33.3,33.3
RCP00068,5.2364999999999995,5,3,1,1,60.0,20.0,20.0
RCP00069,25.11175,14,7,3,4,50.0,21.4,28.6
RCP00070,20.85596,10,6,1,3,60.0,10.0,30.0
RCP00071,11.065214999999998,9,5,2,2,55.6,22.2,22.2
RCP00072,0.44849999999999995,6,4,1,1,66.7,16.7,16.7
RCP00073,7.964060000000001,13,10,2,1,76.9,15.4,7.7
RCP00074,4.783115,12,3,3,6,25.0,25.0,50.0
RCP00075,1.66133,8,5,1,2,62.5,12.5,25.0
RCP00076,3.983558,6,2,1,3,33.3,16.7,50.0
RCP00077,15.971172000000001,13,3,1,9,23.1,7.7,69.2
RCP00078,50.44311999999999,13,7,1,5,53.8,7.7,38.5
RCP00079,5.9553425,13,6,2,5,46.2,15.4,38.5
RCP00080,4.04656,13,8,1,4,61.5,7.7,30.8
RCP00081,24.229638,8,4,1,3,50.0,12.5,37.5
RCP00082,7.036035,9,4,1,4,44.4,11.1,44.4
RCP00083,8.32968,6,3,1,2,50.0,16.7,33.3
RCP00084,23.587701,8,3,1,4,37.5,12.5,50.0
RCP00085,1.40928,7,4,1,2,57.1,14.3,28.6
RCP00086,1.6335899999999999,7,4,2,1,57.1,28.6,14.3
RCP00087,16.688529999999997,7,3,1,3,42.9,14.3,42.9
RCP00088,28.902936999999994,13,7,3,3,53.8,23.1,23.1
RCP00089,13.45669,12,9,1,2,75.0,8.3,16.7
RCP00090,3.54586,11,6,1,4,54.5,9.1,36.4
RCP00091,17.51916,10,5,1,4,50.0,10.0,40.0
RCP00092,5.014861999999999,14,11,1,2,78.6,7.1,14.3
RCP00093,18.70488,16,10,4,2,62.5,25.0,12.5
RCP00094,2.39255,6,3,1,2,50.0,16.7,33.3
RCP00095,2.1442849999999996,7,4,2,1,57.1,28.6,14.3
RCP00096,5.329650000000001,5,2,1,2,40.0,20.0,40.0
RCP00097,18.608059000000004,11,6,1,4,54.5,9.1,36.4
RCP00098,5.019944999999999,9,5,2,2,55.6,22.2,22.2
RCP00099,17.17388,19,9,3,7,47.4,15.8,36.8
RCP00100,6.4444075,7,4,1,2,57.1,14.3,28.6
RCP00101,4.35998,14,7,4,3,50.0,28.6,21.4
RCP00102,2.63133,6,2,2,2,33.3,33.3,33.3
RCP00103,32.28785,8,2,3,3,25.0,37.5,37.5
RCP00104,3.106104,7,4,1,2,57.1,14.3,28.6
RCP00105,3.5447699999999998,9,4,2,3,44.4,22.2,33.3
RCP00106,8.418095,12,8,2,2,66.7,16.7,16.7
RCP00107,42.8718965,12,9,1,2,75.0,8.3,16.7
RCP00108,4.650475,14,9,2,3,64.3,14.3,21.4
RCP00109,22.464809999999996,9,6,1,2,66.7,11.1,22.2
RCP00110,20.686375,18,10,2,6,55.6,11.1,33.3
RCP00111,9.29368,9,5,2,2,55.6,22.2,22.2
RCP00112,22.336894999999995,14,5,3,6,35.7,21.4,42.9
RCP00113,7.0867,10,7,1,2,70.0,10.0,20.0
RCP00114,13.349960000000001,6,3,1,2,50.0,16.7,33.3
RCP00115,36.4967975,19,7,2,10,36.8,10.5,52.6
RCP00116,1.7803200000000001,14,7,4,3,50.0,28.6,21.4
RCP00117,4.55501,14,8,2,4,57.1,14.3,28.6
RCP00118,12.156160000000002,7,4,1,2,57.1,14.3,28.6
RCP00119,23.15712,9,5,2,2,55.6,22.2,22.2
RCP00120,12.588545,11,6,1,4,54.5,9.1,36.4
RCP00121,31.904999999999998,6,3,1,2,50.0,16.7,33.3
RCP00122,0.6049500000000001,6,2,1,3,33.3,16.7,50.0
RCP00123,6.3961679999999985,18,7,2,9,38.9,11.1,50.0
RCP00124,12.754380000000001,14,9,1,4,64.3,7.1,28.6
RCP00125,9.74533,10,5,1,4,50.0,10.0,40.0
RCP00126,25.863167000000004,16,7,3,6,43.8,18.8,37.5
RCP00127,5.19315,7,4,1,2,57.1,14.3,28.6
RCP00128,29.961434999999998,9,7,1,1,77.8,11.1,11.1
RCP00129,53.2410125,17,8,3,6,47.1,17.6,35.3
RCP00130,0.8356500000000001,7,4,1,2,57.1,14.3,28.6
RCP00131,13.291825,8,4,2,2,50.0,25.0,25.0
RCP00132,5.413770499999999,11,7,1,3,63.6,9.1,27.3
RCP00133,1.1650399999999999,8,4,2,2,50.0,25.0,25.0
RCP00134,6.898435999999999,15,7,1,7,46.7,6.7,46.7
RCP00135,2.45654,9,5,1,3,55.6,11.1,33.3
RCP00136,9.3630625,18,10,3,5,55.6,16.7,27.8
RCP00137,31.39006,8,2,1,5,25.0,12.5,62.5
RCP00138,15.068065,8,5,1,2,62.5,12.5,25.0
RCP00139,18.843140000000002,8,3,1,4,37.5,12.5,50.0
RCP00140,2.0284,6,3,1,2,50.0,16.7,33.3
RCP00141,38.463866,8,4,1,3,50.0,12.5,37.5
RCP00142,17.16778,7,3,2,2,42.9,28.6,28.6
RCP00143,17.445569999999996,14,9,2,3,64.3,14.3,21.4
RCP00144,1.724875,5,3,1,1,60.0,20.0,20.0
RCP00145,13.2980025,8,5,1,2,62.5,12.5,25.0
RCP00146,7.80667,10,7,2,1,70.0,20.0,10.0
RCP00147,3.687582,9,5,1,3,55.6,11.1,33.3
RCP00148,55.359367,18,6,4,8,33.3,22.2,44.4
RCP00149,12.221028,16,8,1,7,50.0,6.2,43.8
RCP00150,24.684261,16,7,3,6,43.8,18.8,37.5
RCP00151,7.375189999999999,13,5,3,5,38.5,23.1,38.5
RCP00152,12.879089999999998,8,4,3,1,50.0,37.5,12.5
RCP00153,3.47482,10,6,2,2,60.0,20.0,20.0
RCP00154,23.69829,6,4,1,1,66.7,16.7,16.7
RCP00155,2.3877099999999998,17,8,3,6,47.1,17.6,35.3
RCP00156,4.897020000000001,13,8,1,4,61.5,7.7,30.8
RCP00157,13.5201,11,5,2,4,45.5,18.2,36.4
RCP00158,11.403465,14,8,1,5,57.1,7.1,35.7
RCP00159,3.0380659999999997,8,4,2,2,50.0,25.0,25.0
RCP00160,4.645453999999999,12,6,2,4,50.0,16.7,33.3
RCP00161,3.72568,12,6,2,4,50.0,16.7,33.3
RCP00162,5.0311,9,4,2,3,44.4,22.2,33.3
RCP00163,4.993810000000001,14,9,2,3,64.3,14.3,21.4
RCP00164,2.5813099999999993,11,8,1,2,72.7,9.1,18.2
RCP00165,22.300933,8,3,2,3,37.5,25.0,37.5
RCP00166,12.649854499999998,6,3,1,2,50.0,16.7,33.3
RCP00167,4.725450000000001,6,3,1,2,50.0,16.7,33.3
RCP00168,2.2435099999999997,8,4,2,2,50.0,25.0,25.0
RCP00169,1.666181,5,2,1,2,40.0,20.0,40.0
RCP00170,8.66692,6,3,1,2,50.0,16.7,33.3
RCP00171,4.8313925,13,9,1,3,69.2,7.7,23.1
RCP00172,0.53901,8,6,1,1,75.0,12.5,12.5
RCP00173,0.65405,7,4,1,2,57.1,14.3,28.6
RCP00174,15.57428,5,3,1,1,60.0,20.0,20.0
RCP00175,20.895349999999997,12,6,1,5,50.0,8.3,41.7
RCP00176,4.8040600000000016,13,8,2,3,61.5,15.4,23.1
RCP00177,9.680499999999999,8,3,2,3,37.5,25.0,37.5
RCP00178,8.453014999999999,12,4,4,4,33.3,33.3,33.3
RCP00179,3.723727,17,11,1,5,64.7,5.9,29.4
RCP00180,1.4661999999999997,8,6,1,1,75.0,12.5,12.5
RCP00181,1.31211,9,7,1,1,77.8,11.1,11.1
RCP00182,38.770129999999995,8,3,2,3,37.5,25.0,37.5
RCP00183,2.4191000000000003,5,2,2,1,40.0,40.0,20.0
RCP00184,14.250660000000002,13,5,3,5,38.5,23.1,38.5
RCP00185,45.367830000000005,14,8,3,3,57.1,21.4,21.4
RCP00186,1.0718400000000001,5,3,1,1,60.0,20.0,20.0
RCP00187,18.601028,13,8,2,3,61.5,15.4,23.1
RCP00188,5.8944149999999995,7,4,1,2,57.1,14.3,28.6
RCP00189,15.081049999999998,18,10,3,5,55.6,16.7,27.8
RCP00190,10.61705,14,5,3,6,35.7,21.4,42.9
RCP00191,12.024335,9,6,1,2,66.7,11.1,22.2
RCP00192,2.28735,5,2,1,2,40.0,20.0,40.0
RCP00193,22.813474999999997,9,5,2,2,55.6,22.2,22.2
RCP00194,1.73868,7,2,2,3,28.6,28.6,42.9
RCP00195,16.360789999999998,11,7,1,3,63.6,9.1,27.3
RCP00196,22.841038999999995,15,9,2,4,60.0,13.3,26.7
RCP00197,1.13571,6,4,1,1,66.7,16.7,16.7
RCP00198,2.03774,8,6,1,1,75.0,12.5,12.5
RCP00199,21.1638,6,4,1,1,66.7,16.7,16.7
RCP00200,27.749894000000005,16,10,2,4,62.5,12.5,25.0
RCP00201,1.78751,9,4,3,2,44.4,33.3,22.2
RCP00202,36.41158,7,3,1,3,42.9,14.3,42.9
RCP00203,54.50172,13,9,2,2,69.2,15.4,15.4
RCP00204,17.447029999999998,14,7,4,3,50.0,28.6,21.4
RCP00205,4.646155,13,8,3,2,61.5,23.1,15.4
RCP00206,1.7465300000000001,7,5,1,1,71.4,14.3,14.3
RCP00207,26.203465,17,10,3,4,58.8,17.6,23.5
RCP00208,1.61068,6,4,1,1,66.7,16.7,16.7
RCP00209,6.1643099999999995,11,4,2,5,36.4,18.2,45.5
RCP00210,17.29682,8,4,1,3,50.0,12.5,37.5
RCP00211,66.0963555,5,2,1,2,40.0,20.0,40.0
RCP00212,11.217120000000001,9,4,2,3,44.4,22.2,33.3
RCP00213,29.42385,9,6,2,1,66.7,22.2,11.1
RCP00214,7.0297675,16,9,2,5,56.2,12.5,31.2
RCP00215,24.776340500000003,19,8,2,9,42.1,10.5,47.4
RCP00216,19.448019999999996,9,5,1,3,55.6,11.1,33.3
RCP00217,2.31687,6,3,1,2,50.0,16.7,33.3
RCP00218,6.6629,9,4,2,3,44.4,22.2,33.3
RCP00219,11.109610000000002,13,4,5,4,30.8,38.5,30.8
RCP00220,38.11355999999999,15,9,3,3,60.0,20.0,20.0
RCP00221,4.520930000000001,5,2,1,2,40.0,20.0,40.0
RCP00222,21.83007,7,3,2,2,42.9,28.6,28.6
RCP00223,4.95999,5,3,1,1,60.0,20.0,20.0
RCP00224,3.96018,12,5,3,4,41.7,25.0,33.3
RCP00225,5.4538305,13,9,1,3,69.2,7.7,23.1
RCP00226,5.363645,9,4,3,2,44.4,33.3,22.2
RCP00227,34.603229999999996,16,11,2,3,68.8,12.5,18.8
RCP00228,15.533089999999994,15,9,4,2,60.0,26.7,13.3
RCP00229,5.6179499999999996,18,9,3,6,50.0,16.7,33.3
RCP00230,5.36078,7,4,1,2,57.1,14.3,28.6
RCP00231,14.25301,13,6,3,4,46.2,23.1,30.8
RCP00232,4.284345,15,8,2,5,53.3,13.3,33.3
RCP00233,1.4965750000000002,17,12,2,3,70.6,11.8,17.6
RCP00234,36.615500000000004,18,10,1,7,55.6,5.6,38.9
RCP00235,17.5869,5,2,1,2,40.0,20.0,40.0
RCP00236,9.86545,14,9,1,4,64.3,7.1,28.6
RCP00237,12.996235,9,4,3,2,44.4,33.3,22.2
RCP00238,7.49748,12,6,4,2,50.0,33.3,16.7
RCP00239,8.67497,8,4,1,3,50.0,12.5,37.5
RCP00240,10.36883,14,8,2,4,57.1,14.3,28.6
RCP00241,14.573870000000001,9,6,2,1,66.7,22.2,11.1
RCP00242,35.689725499999994,12,7,3,2,58.3,25.0,16.7
RCP00243,6.285310000000002,14,8,3,3,57.1,21.4,21.4
RCP00244,44.73486,9,3,2,4,33.3,22.2,44.4
RCP00245,17.572480000000002,6,3,1,2,50.0,16.7,33.3
RCP00246,2.753498,8,4,1,3,50.0,12.5,37.5
RCP00247,17.541179999999997,7,2,3,2,28.6,42.9,28.6
RCP00248,51.386649999999996,9,6,1,2,66.7,11.1,22.2
RCP00249,15.502469999999997,13,4,2,7,30.8,15.4,53.8
RCP00250,20.300245,6,4,1,1,66.7,16.7,16.7
RCP00251,4.2146159999999995,16,7,4,5,43.8,25.0,31.2
RCP00252,7.4474800000000005,11,4,1,6,36.4,9.1,54.5
RCP00253,12.6603775,13,10,2,1,76.9,15.4,7.7
RCP00254,20.83993,14,10,2,2,71.4,14.3,14.3
RCP00255,1.03097,9,5,2,2,55.6,22.2,22.2
RCP00256,2.27285,8,5,1,2,62.5,12.5,25.0
RCP00257,0.53421,7,5,1,1,71.4,14.3,14.3
RCP00258,1.5200699999999998,9,6,2,1,66.7,22.2,11.1
RCP00259,3.176285,13,9,2,2,69.2,15.4,15.4
RCP00260,21.39984,8,5,1,2,62.5,12.5,25.0
RCP00261,10.890270000000001,14,10,1,3,71.4,7.1,21.4
RCP00262,5.153090000000001,6,4,1,1,66.7,16.7,16.7
RCP00263,2.19089,17,9,2,6,52.9,11.8,35.3
RCP00264,22.644978,13,7,1,5,53.8,7.7,38.5
RCP00265,26.067424,8,3,1,4,37.5,12.5,50.0
RCP00266,5.953725,9,4,1,4,44.4,11.1,44.4
RCP00267,2.43564,9,4,2,3,44.4,22.2,33.3
RCP00268,7.044567499999999,14,10,2,2,71.4,14.3,14.3
RCP00269,8.70243,9,7,1,1,77.8,11.1,11.1
RCP00270,19.520885,19,10,3,6,52.6,15.8,31.6
RCP00271,4.2496425,9,5,1,3,55.6,11.1,33.3
RCP00272,22.75973,14,8,2,4,57.1,14.3,28.6
RCP00273,13.981119999999997,8,4,3,1,50.0,37.5,12.5
RCP00274,17.835769999999997,14,9,1,4,64.3,7.1,28.6
RCP00275,0.7137800000000001,8,6,1,1,75.0,12.5,12.5
RCP00276,22.781219999999998,17,10,3,4,58.8,17.6,23.5
RCP00277,32.997045,5,3,1,1,60.0,20.0,20.0
RCP00278,7.672077499999999,8,4,1,3,50.0,12.5,37.5
RCP00279,2.0997,7,4,2,1,57.1,28.6,14.3
RCP00280,8.536695000000002,9,5,2,2,55.6,22.2,22.2
RCP00281,2.4607699999999997,8,4,3,1,50.0,37.5,12.5
RCP00282,16.2248,8,3,3,2,37.5,37.5,25.0
RCP00283,17.472614999999998,10,4,2,4,40.0,20.0,40.0
RCP00284,50.794265,7,3,1,3,42.9,14.3,42.9
RCP00285,4.65122,6,3,1,2,50.0,16.7,33.3
RCP00286,15.68,13,9,2,2,69.2,15.4,15.4
RCP00287,1.41894,7,5,1,1,71.4,14.3,14.3
RCP00288,0.6577,8,4,1,3,50.0,12.5,37.5
RCP00289,10.327399999999999,9,4,1,4,44.4,11.1,44.4
RCP00290,50.47201499999999,13,7,2,4,53.8,15.4,30.8
RCP00291,4.248665000000001,10,6,2,2,60.0,20.0,20.0
RCP00292,15.897445,13,7,2,4,53.8,15.4,30.8
RCP00293,25.26392,14,10,1,3,71.4,7.1,21.4
RCP00294,5.806965,9,5,1,3,55.6,11.1,33.3
RCP00295,33.916222000000005,12,4,3,5,33.3,25.0,41.7
RCP00296,23.59955,10,3,1,6,30.0,10.0,60.0
RCP00297,5.6367195,9,6,1,2,66.7,11.1,22.2
RCP00298,4.83107,8,3,2,3,37.5,25.0,37.5
RCP00299,40.243264999999994,14,5,2,7,35.7,14.3,50.0
RCP00300,14.77536,6,2,1,3,33.3,16.7,50.0
RCP00301,19.384144,16,9,1,6,56.2,6.2,37.5
RCP00302,14.497556499999996,13,8,1,4,61.5,7.7,30.8
RCP00303,2.33275,9,5,2,2,55.6,22.2,22.2
RCP00304,2.34195,6,2,1,3,33.3,16.7,50.0
RCP00305,1.44696,13,7,2,4,53.8,15.4,30.8
RCP00306,54.2102,7,4,2,1,57.1,28.6,14.3
RCP00307,21.886805,10,4,2,4,40.0,20.0,40.0
RCP00308,2.0298369999999997,9,5,1,3,55.6,11.1,33.3
RCP00309,20.0720125,11,6,2,3,54.5,18.2,27.3
RCP00310,5.820754999999999,14,9,3,2,64.3,21.4,14.3
RCP00311,13.845035,14,7,2,5,50.0,14.3,35.7
RCP00312,8.81295,5,2,1,2,40.0,20.0,40.0
RCP00313,29.965329999999998,13,6,1,6,46.2,7.7,46.2
RCP00314,7.156349999999999,9,4,1,4,44.4,11.1,44.4
RCP00315,1.86308,13,6,2,5,46.2,15.4,38.5
RCP00316,22.009680499999995,18,11,3,4,61.1,16.7,22.2
RCP00317,18.613093499999998,12,6,2,4,50.0,16.7,33.3
RCP00318,3.2388,11,6,1,4,54.5,9.1,36.4
RCP00319,22.683812,14,9,1,4,64.3,7.1,28.6
RCP00320,2.14643,5,3,1,1,60.0,20.0,20.0
RCP00321,7.901019999999999,11,7,1,3,63.6,9.1,27.3
RCP00322,18.335322499999997,15,10,2,3,66.7,13.3,20.0
RCP00323,3.1233999999999997,10,7,1,2,70.0,10.0,20.0
RCP00324,5.87755,9,5,1,3,55.6,11.1,33.3
RCP00325,0.71268,9,5,1,3,55.6,11.1,33.3
RCP00326,30.9766355,17,8,3,6,47.1,17.6,35.3
RCP00327,1.3813600000000001,9,6,2,1,66.7,22.2,11.1
RCP00328,20.84268,5,2,2,1,40.0,40.0,20.0
RCP00329,2.285805,7,4,1,2,57.1,14.3,28.6
RCP00330,10.4974185,13,7,2,4,53.8,15.4,30.8
RCP00331,1.20626,8,5,2,1,62.5,25.0,12.5
RCP00332,22.609294999999996,10,6,2,2,60.0,20.0,20.0
RCP00333,10.11491,8,3,2,3,37.5,25.0,37.5
RCP00334,23.0579775,8,6,1,1,75.0,12.5,12.5
RCP00335,26.266509999999997,9,4,2,3,44.4,22.2,33.3
RCP00336,1.46888,8,4,2,2,50.0,25.0,25.0
RCP00337,20.984879999999997,6,3,2,1,50.0,33.3,16.7
RCP00338,4.5766729999999995,6,2,1,3,33.3,16.7,50.0
RCP00339,18.715490000000003,9,5,1,3,55.6,11.1,33.3
RCP00340,34.924760500000005,12,4,1,7,33.3,8.3,58.3
RCP00341,1.9358840000000002,17,11,2,4,64.7,11.8,23.5
RCP00342,32.819107,9,5,1,3,55.6,11.1,33.3
RCP00343,9.113351,19,13,1,5,68.4,5.3,26.3
RCP00344,16.955136,13,5,3,5,38.5,23.1,38.5
RCP00345,19.476765,6,4,1,1,66.7,16.7,16.7
RCP00346,15.667795000000002,12,5,1,6,41.7,8.3,50.0
RCP00347,2.952795,6,3,1,2,50.0,16.7,33.3
RCP00348,6.2349000000000006,8,2,2,4,25.0,25.0,50.0
RCP00349,5.4828775,14,9,2,3,64.3,14.3,21.4
RCP00350,0.832885,9,6,1,2,66.7,11.1,22.2
RCP00351,24.507091499999994,18,6,5,7,33.3,27.8,38.9
RCP00352,23.347785,13,7,2,4,53.8,15.4,30.8
RCP00353,7.06866,7,5,1,1,71.4,14.3,14.3
RCP00354,1.6353749999999998,8,5,1,2,62.5,12.5,25.0
RCP00355,2.2200824999999997,10,6,1,3,60.0,10.0,30.0
RCP00356,1.45264,9,6,1,2,66.7,11.1,22.2
RCP00357,21.338445,7,3,2,2,42.9,28.6,28.6
RCP00358,28.915181999999994,9,5,1,3,55.6,11.1,33.3
RCP00359,4.5564,5,2,1,2,40.0,20.0,40.0
RCP00360,1.411025,11,8,2,1,72.7,18.2,9.1
RCP00361,24.761274999999998,11,4,1,6,36.4,9.1,54.5
RCP00362,31.96398,6,4,1,1,66.7,16.7,16.7
RCP00363,5.667570000000001,18,13,2,3,72.2,11.1,16.7
RCP00364,22.284074999999998,7,3,1,3,42.9,14.3,42.9
RCP00365,4.7577300000000005,15,10,1,4,66.7,6.7,26.7
RCP00366,18.659496,14,6,3,5,42.9,21.4,35.7
RCP00367,8.219750000000001,14,7,2,5,50.0,14.3,35.7
RCP00368,32.898211,17,11,1,5,64.7,5.9,29.4
RCP00369,16.06919,19,9,6,4,47.4,31.6,21.1
RCP00370,21.95801,19,8,1,10,42.1,5.3,52.6
RCP00371,3.1238,10,5,2,3,50.0,20.0,30.0
RCP00372,7.643961000000001,10,5,2,3,50.0,20.0,30.0
RCP00373,5.845689999999999,10,8,1,1,80.0,10.0,10.0
RCP00374,1.4221099999999998,12,7,1,4,58.3,8.3,33.3
RCP00375,11.733569999999999,5,2,1,2,40.0,20.0,40.0
RCP00376,55.61823,6,3,1,2,50.0,16.7,33.3
RCP00377,24.045775000000003,5,3,1,1,60.0,20.0,20.0
RCP00378,6.641859999999999,12,7,1,4,58.3,8.3,33.3
RCP00379,16.734565,8,4,2,2,50.0,25.0,25.0
RCP00380,4.85331,13,6,1,6,46.2,7.7,46.2
RCP00381,6.046564999999999,8,3,2,3,37.5,25.0,37.5
RCP00382,3.48822,5,3,1,1,60.0,20.0,20.0
RCP00383,19.33365,5,2,2,1,40.0,40.0,20.0
RCP00384,1.747245,11,7,1,3,63.6,9.1,27.3
RCP00385,10.29769,12,9,2,1,75.0,16.7,8.3
RCP00386,1.9410375000000002,16,9,2,5,56.2,12.5,31.2
RCP00387,12.45027,6,3,1,2,50.0,16.7,33.3
RCP00388,2.5360500000000004,7,2,1,4,28.6,14.3,57.1
RCP00389,5.91914,12,5,2,5,41.7,16.7,41.7
RCP00390,37.44411,8,5,1,2,62.5,12.5,25.0
RCP00391,2.09259,6,3,1,2,50.0,16.7,33.3
RCP00392,53.34005,12,6,2,4,50.0,16.7,33.3
RCP00393,1.635495,14,8,3,3,57.1,21.4,21.4
RCP00394,34.46047,16,6,2,8,37.5,12.5,50.0
RCP00395,2.2432100000000004,11,3,3,5,27.3,27.3,45.5
RCP00396,29.589259,14,8,1,5,57.1,7.1,35.7
RCP00397,42.288459999999986,15,6,4,5,40.0,26.7,33.3
RCP00398,7.046875,13,8,2,3,61.5,15.4,23.1
RCP00399,2.6455,5,2,1,2,40.0,20.0,40.0
RCP00400,19.180782,14,7,1,6,50.0,7.1,42.9
RCP00401,2.0507999999999997,5,2,1,2,40.0,20.0,40.0
RCP00402,3.2438,9,4,3,2,44.4,33.3,22.2
RCP00403,6.817290000000001,8,4,1,3,50.0,12.5,37.5
RCP00404,0.9059299999999999,5,3,1,1,60.0,20.0,20.0
RCP00405,2.2060000000000004,6,2,1,3,33.3,16.7,50.0
RCP00406,15.721145,15,10,2,3,66.7,13.3,20.0
RCP00407,23.696099999999998,6,2,3,1,33.3,50.0,16.7
RCP00408,3.42584,6,3,2,1,50.0,33.3,16.7
RCP00409,3.23121,14,6,3,5,42.9,21.4,35.7
RCP00410,8.03362,14,7,1,6,50.0,7.1,42.9
RCP00411,8.948350000000001,12,8,2,2,66.7,16.7,16.7
RCP00412,4.1249649999999995,8,4,2,2,50.0,25.0,25.0
RCP00413,8.456174999999998,14,9,2,3,64.3,14.3,21.4
RCP00414,3.9994,7,2,1,4,28.6,14.3,57.1
RCP00415,3.1797,7,4,2,1,57.1,28.6,14.3
RCP00416,30.751409999999996,7,3,2,2,42.9,28.6,28.6
RCP00417,2.01305,11,5,1,5,45.5,9.1,45.5
RCP00418,10.22205,8,3,1,4,37.5,12.5,50.0
RCP00419,7.937165,14,8,2,4,57.1,14.3,28.6
RCP00420,28.411007999999995,14,7,2,5,50.0,14.3,35.7
RCP00421,5.001752500000001,11,8,1,2,72.7,9.1,18.2
RCP00422,17.830402,13,6,2,5,46.2,15.4,38.5
RCP00423,19.46185,6,3,1,2,50.0,16.7,33.3
RCP00424,9.29269,13,7,1,5,53.8,7.7,38.5
RCP00425,2.0348949999999997,9,3,1,5,33.3,11.1,55.6
RCP00426,33.57751,7,4,2,1,57.1,28.6,14.3
RCP00427,7.12187,18,11,5,2,61.1,27.8,11.1
RCP00428,6.0630525,9,6,1,2,66.7,11.1,22.2
