recipe_id,co2e_kg,n_ingr,n_sr,n_gen,usda_pct,generic_pct
RCP00206,1.7465300000000001,7,5,2,71.4,28.6
RCP00207,26.235465,17,10,7,58.8,41.2
RCP00208,1.56285,6,4,2,66.7,33.3
RCP00209,10.0270985,11,4,7,36.4,63.6
RCP00210,21.089779999999998,8,4,4,50.0,50.0
RCP00211,66.0963555,5,2,3,40.0,60.0
RCP00212,13.971719999999998,9,4,5,44.4,55.6
RCP00213,29.4333,9,6,3,66.7,33.3
RCP00214,9.1987035,16,9,7,56.2,43.8
RCP00215,24.661140500000002,19,8,11,42.1,57.9
RCP00216,19.359115999999997,9,5,4,55.6,44.4
RCP00217,2.31687,6,3,3,50.0,50.0
RCP00218,10.349899999999998,9,4,5,44.4,55.6
RCP00219,15.086759,13,4,9,30.8,69.2
RCP00220,38.09681299999999,15,9,6,60.0,40.0
RCP00221,6.3101205,5,2,3,40.0,60.0
RCP00222,21.83007,7,3,4,42.9,57.1
RCP00223,8.718389999999998,5,3,2,60.0,40.0
RCP00224,3.9696799999999994,12,5,7,41.7,58.3
RCP00225,5.4278224999999996,13,9,4,69.2,30.8
RCP00226,5.610845,9,4,5,44.4,55.6
RCP00227,34.038615,16,11,5,68.8,31.2
RCP00228,15.561439999999997,15,9,6,60.0,40.0
RCP00229,5.5847755,18,9,9,50.0,50.0
RCP00230,5.39278,7,4,3,57.1,42.9
RCP00231,14.552096,13,6,7,46.2,53.8
RCP00232,4.3829145,15,8,7,53.3,46.7
RCP00233,1.4467969999999999,17,12,5,70.6,29.4
RCP00234,36.599194000000004,18,10,8,55.6,44.4
RCP00235,17.5869,5,2,3,40.0,60.0
RCP00236,9.915994,14,9,5,64.3,35.7
RCP00237,12.992334999999999,9,4,5,44.4,55.6
RCP00238,10.868549999999999,12,6,6,50.0,50.0
RCP00239,8.64097,8,4,4,50.0,50.0
RCP00240,10.278695999999998,14,8,6,57.1,42.9
RCP00241,14.549062000000001,9,6,3,66.7,33.3
RCP00242,35.724625499999995,12,7,5,58.3,41.7
RCP00243,5.999250000000001,14,8,6,57.1,42.9
RCP00244,44.619659999999996,9,3,6,33.3,66.7
RCP00245,17.572480000000002,6,3,3,50.0,50.0
RCP00246,3.2110980000000002,8,4,4,50.0,50.0
RCP00247,17.541179999999997,7,2,5,28.6,71.4
RCP00248,51.406389999999995,9,6,3,66.7,33.3
RCP00249,15.501619999999997,13,4,9,30.8,69.2
RCP00250,20.284593,6,4,2,66.7,33.3
RCP00251,4.697936,16,7,9,43.8,56.2
RCP00252,7.599100000000001,11,4,7,36.4,63.6
RCP00253,12.650057499999999,13,10,3,76.9,23.1
RCP00254,20.511775999999998,14,10,4,71.4,28.6
RCP00255,1.3219299999999998,9,5,4,55.6,44.4
RCP00256,2.27285,8,5,3,62.5,37.5
RCP00257,0.9815900000000001,7,5,2,71.4,28.6
RCP00258,2.01615,9,6,3,66.7,33.3
RCP00259,3.1382890000000003,13,9,4,69.2,30.8
RCP00260,21.40929,8,5,3,62.5,37.5
RCP00261,11.13259,14,10,4,71.4,28.6
RCP00262,8.924449999999998,6,4,2,66.7,33.3
RCP00263,2.436362,17,9,8,52.9,47.1
RCP00264,22.414541,13,7,6,53.8,46.2
RCP00265,25.952224,8,3,5,37.5,62.5
RCP00266,6.177085000000001,9,4,5,44.4,55.6
RCP00267,2.7164399999999995,9,4,5,44.4,55.6
RCP00268,7.3297875,14,10,4,71.4,28.6
RCP00269,8.70243,9,7,2,77.8,22.2
RCP00270,19.549235000000003,19,10,9,52.6,47.4
RCP00271,4.474118499999999,9,5,4,55.6,44.4
RCP00272,22.758726000000003,14,8,6,57.1,42.9
RCP00273,13.949325999999997,8,4,4,50.0,50.0
RCP00274,17.864119999999996,14,9,5,64.3,35.7
RCP00275,0.8597000000000001,8,6,2,75.0,25.0
RCP00276,22.789491999999996,17,10,7,58.8,41.2
RCP00277,32.950089,5,3,2,60.0,40.0
RCP00278,9.070793499999999,8,4,4,50.0,50.0
RCP00279,2.0997,7,4,3,57.1,42.9
RCP00280,10.195575,9,5,4,55.6,44.4
RCP00281,2.4607699999999997,8,4,4,50.0,50.0
RCP00282,16.1908,8,3,5,37.5,62.5
RCP00283,17.472614999999998,10,4,6,40.0,60.0
RCP00284,50.64651,7,3,4,42.9,57.1
RCP00285,4.68322,6,3,3,50.0,50.0
RCP00286,15.740264,13,9,4,69.2,30.8
RCP00287,1.41894,7,5,2,71.4,28.6
RCP00288,1.1537800000000002,8,4,4,50.0,50.0
RCP00289,10.3104,9,4,5,44.4,55.6
RCP00290,50.493565,13,7,6,53.8,46.2
RCP00291,4.248665000000001,10,6,4,60.0,40.0
RCP00292,15.844769,13,7,6,53.8,46.2
RCP00293,24.876843499999996,14,10,4,71.4,28.6
RCP00294,5.659971,9,5,4,55.6,44.4
RCP00295,33.858622000000004,12,4,8,33.3,66.7
RCP00296,23.3406765,10,3,7,30.0,70.0
RCP00297,6.031399499999999,9,6,3,66.7,33.3
RCP00298,4.85582,8,3,5,37.5,62.5
RCP00299,40.15281499999999,14,5,9,35.7,64.3
RCP00300,14.77536,6,2,4,33.3,66.7
RCP00301,19.1305105,16,9,7,56.2,43.8
RCP00302,14.456059499999997,13,8,5,61.5,38.5
RCP00303,2.4741899999999997,9,5,4,55.6,44.4
RCP00304,2.3667000000000002,6,2,4,33.3,66.7
RCP00305,1.73055,13,7,6,53.8,46.2
RCP00306,54.062445,7,4,3,57.1,42.9
RCP00307,21.912076999999996,10,4,6,40.0,60.0
RCP00308,2.0221899999999997,9,5,4,55.6,44.4
RCP00309,20.0220405,11,6,5,54.5,45.5
RCP00310,5.890199,14,9,5,64.3,35.7
RCP00311,13.774078999999999,14,7,7,50.0,50.0
RCP00312,8.81295,5,2,3,40.0,60.0
RCP00313,29.96448,13,6,7,46.2,53.8
RCP00314,7.149349999999999,9,4,5,44.4,55.6
RCP00315,2.020089,13,6,7,46.2,53.8
RCP00316,21.877075499999997,18,11,7,61.1,38.9
RCP00317,18.872293499999998,12,6,6,50.0,50.0
RCP00318,3.2322459999999995,11,6,5,54.5,45.5
RCP00319,22.699812,14,9,5,64.3,35.7
RCP00320,2.14643,5,3,2,60.0,40.0
RCP00321,11.771019999999998,11,7,4,63.6,36.4
RCP00322,18.376308499999997,15,10,5,66.7,33.3
RCP00323,3.13285,10,7,3,70.0,30.0
RCP00324,5.6433355,9,5,4,55.6,44.4
RCP00325,1.06621,9,5,4,55.6,44.4
RCP00326,30.529576,17,8,9,47.1,52.9
RCP00327,1.5727520000000001,9,6,3,66.7,33.3
RCP00328,20.84268,5,2,3,40.0,60.0
RCP00329,2.285805,7,4,3,57.1,42.9
RCP00330,13.124214499999999,13,7,6,53.8,46.2
RCP00331,1.6524200000000002,8,5,3,62.5,37.5
RCP00332,22.5116005,10,6,4,60.0,40.0
RCP00333,10.39485,8,3,5,37.5,62.5
RCP00334,23.095885499999998,8,6,2,75.0,25.0
RCP00335,26.237709999999996,9,4,5,44.4,55.6
RCP00336,1.71236,8,4,4,50.0,50.0
RCP00337,20.984879999999997,6,3,3,50.0,50.0
RCP00338,4.5766729999999995,6,2,4,33.3,66.7
RCP00339,18.74849,9,5,4,55.6,44.4
RCP00340,34.924760500000005,12,4,8,33.3,66.7
RCP00341,2.07945,17,11,6,64.7,35.3
RCP00342,32.891906999999996,9,5,4,55.6,44.4
RCP00343,8.874799500000002,19,13,6,68.4,31.6
RCP00344,16.839935999999998,13,5,8,38.5,61.5
RCP00345,19.476765,6,4,2,66.7,33.3
RCP00346,15.552595,12,5,7,41.7,58.3
RCP00347,2.952795,6,3,3,50.0,50.0
RCP00348,6.144450000000001,8,2,6,25.0,75.0
RCP00349,5.6117135000000005,14,9,5,64.3,35.7
RCP00350,1.122725,9,6,3,66.7,33.3
RCP00351,24.588541499999998,18,6,12,33.3,66.7
RCP00352,23.347785,13,7,6,53.8,46.2
RCP00353,7.06866,7,5,2,71.4,28.6
RCP00354,1.6416749999999998,8,5,3,62.5,37.5
RCP00355,2.6767985000000003,10,6,4,60.0,40.0
RCP00356,1.6285100000000001,9,6,3,66.7,33.3
RCP00357,21.291489,7,3,4,42.9,57.1
RCP00358,28.931681999999995,9,5,4,55.6,44.4
RCP00359,7.908719999999999,5,2,3,40.0,60.0
RCP00360,1.592407,11,8,3,72.7,27.3
RCP00361,24.759574999999995,11,4,7,36.4,63.6
RCP00362,31.96398,6,4,2,66.7,33.3
RCP00363,7.90857,18,13,5,72.2,27.8
RCP00364,22.321875,7,3,4,42.9,57.1
RCP00365,4.6967419999999995,15,10,5,66.7,33.3
RCP00366,18.677245999999997,14,6,8,42.9,57.1
RCP00367,8.069569999999999,14,7,7,50.0,50.0
RCP00368,32.882333,17,11,6,64.7,35.3
RCP00369,15.901097000000002,19,9,10,47.4,52.6
RCP00370,21.57655,19,8,11,42.1,57.9
RCP00371,2.8515194999999998,10,5,5,50.0,50.0
RCP00372,9.759207,10,5,5,50.0,50.0
RCP00373,10.141153000000001,10,8,2,80.0,20.0
RCP00374,1.6677629999999999,12,7,5,58.3,41.7
RCP00375,11.704769999999998,5,2,3,40.0,60.0
RCP00376,55.61823,6,3,3,50.0,50.0
RCP00377,24.041875,5,3,2,60.0,40.0
RCP00378,6.548999999999999,12,7,5,58.3,41.7
RCP00379,16.439055,8,4,4,50.0,50.0
RCP00380,4.257609999999999,13,6,7,46.2,53.8
RCP00381,6.186084999999999,8,3,5,37.5,62.5
RCP00382,3.48822,5,3,2,60.0,40.0
RCP00383,19.33365,5,2,3,40.0,60.0
RCP00384,1.739843,11,7,4,63.6,36.4
RCP00385,10.00218,12,9,3,75.0,25.0
RCP00386,2.1544485,16,9,7,56.2,43.8
RCP00387,12.44077,6,3,3,50.0,50.0
RCP00388,2.5352000000000006,7,2,5,28.6,71.4
RCP00389,7.2250334999999986,12,5,7,41.7,58.3
RCP00390,37.44411,8,5,3,62.5,37.5
RCP00391,1.89343,6,3,3,50.0,50.0
RCP00392,53.210345000000004,12,6,6,50.0,50.0
RCP00393,1.8531350000000002,14,8,6,57.1,42.9
RCP00394,34.026222,16,6,10,37.5,62.5
RCP00395,2.204416,11,3,8,27.3,72.7
RCP00396,29.563509,14,8,6,57.1,42.9
RCP00397,42.288459999999986,15,6,9,40.0,60.0
RCP00398,6.381211500000001,13,8,5,61.5,38.5
RCP00399,2.6455,5,2,3,40.0,60.0
RCP00400,19.163782000000005,14,7,7,50.0,50.0
RCP00401,2.0507999999999997,5,2,3,40.0,60.0
RCP00402,3.424126,9,4,5,44.4,55.6
RCP00403,7.108490000000001,8,4,4,50.0,50.0
RCP00404,1.16065,5,3,2,60.0,40.0
RCP00405,2.3999200000000003,6,2,4,33.3,66.7
RCP00406,19.958001,15,10,5,66.7,33.3
RCP00407,23.696099999999998,6,2,4,33.3,66.7
RCP00408,3.42584,6,3,3,50.0,50.0
RCP00409,3.5736930000000005,14,6,8,42.9,57.1
RCP00410,8.18797,14,7,7,50.0,50.0
RCP00411,8.926496,12,8,4,66.7,33.3
RCP00412,4.617925,8,4,4,50.0,50.0
RCP00413,8.427374999999998,14,9,5,64.3,35.7
RCP00414,3.9994,7,2,5,28.6,71.4
RCP00415,3.1957,7,4,3,57.1,42.9
RCP00416,30.751409999999996,7,3,4,42.9,57.1
RCP00417,2.2597899999999997,11,5,6,45.5,54.5
RCP00418,10.119482,8,3,5,37.5,62.5
RCP00419,7.999495,14,8,6,57.1,42.9
RCP00420,28.178216499999998,14,7,7,50.0,50.0
RCP00421,4.885905500000001,11,8,3,72.7,27.3
RCP00422,21.385521999999998,13,6,7,46.2,53.8
RCP00423,19.46185,6,3,3,50.0,50.0
RCP00424,9.434684,13,7,6,53.8,46.2
RCP00425,2.3347949999999997,9,3,6,33.3,66.7
RCP00426,33.57751,7,4,3,57.1,42.9
RCP00427,8.354764999999999,18,11,7,61.1,38.9
RCP00428,6.0630525,9,6,3,66.7,33.3
RCP00429,25.740869999999997,6,4,2,66.7,33.3
RCP00430,62.9423575,9,5,4,55.6,44.4
RCP00431,1.3147199999999999,7,4,3,57.1,42.9
RCP00432,38.66051,8,4,4,50.0,50.0
RCP00433,6.856199999999999,6,4,2,66.7,33.3
RCP00434,0.827562,9,6,3,66.7,33.3
RCP00435,1.94338,7,4,3,57.1,42.9
RCP00436,19.441375,8,4,4,50.0,50.0
RCP00437,14.188734,16,5,11,31.2,68.8
RCP00438,36.1369095,12,7,5,58.3,41.7
RCP00439,1.48125,8,5,3,62.5,37.5
RCP00440,43.982994,9,3,6,33.3,66.7
RCP00441,27.575258,9,3,6,33.3,66.7
RCP00442,22.836495499999998,19,10,9,52.6,47.4
RCP00443,8.76633,8,6,2,75.0,25.0
RCP00444,36.13550999999999,11,5,6,45.5,54.5
RCP00445,10.496246,18,11,7,61.1,38.9
RCP00446,7.22059,7,5,2,71.4,28.6
RCP00447,17.388399999999997,6,3,3,50.0,50.0
RCP00448,3.1023129999999997,7,4,3,57.1,42.9
RCP00449,4.773403,9,4,5,44.4,55.6
RCP00450,12.257169999999999,12,5,7,41.7,58.3
RCP00451,5.072672999999999,15,8,7,53.3,46.7
RCP00452,1.3410199999999999,8,5,3,62.5,37.5
RCP00453,38.8921055,16,7,9,43.8,56.2
RCP00454,1.3799,5,2,3,40.0,60.0
RCP00455,3.8632720000000003,13,9,4,69.2,30.8
RCP00456,6.868724,13,9,4,69.2,30.8
RCP00457,44.779169,8,5,3,62.5,37.5
RCP00458,5.016115,9,3,6,33.3,66.7
RCP00459,5.892465499999999,9,5,4,55.6,44.4
RCP00460,11.939415,8,3,5,37.5,62.5
RCP00461,6.971887000000001,14,5,9,35.7,64.3
RCP00462,11.322394999999998,13,6,7,46.2,53.8
RCP00463,11.811249999999998,5,3,2,60.0,40.0
RCP00464,4.769080000000001,7,5,2,71.4,28.6
RCP00465,51.8658095,18,9,9,50.0,50.0
RCP00466,8.327169999999999,14,8,6,57.1,42.9
RCP00467,1.0131385000000002,11,6,5,54.5,45.5
RCP00468,7.021884999999999,11,5,6,45.5,54.5
RCP00469,46.54617,7,3,4,42.9,57.1
RCP00470,23.076845,12,7,5,58.3,41.7
RCP00471,6.6898599999999995,9,6,3,66.7,33.3
RCP00472,5.47525,8,5,3,62.5,37.5
RCP00473,0.8970730000000001,7,5,2,71.4,28.6
RCP00474,1.9093499999999999,6,2,4,33.3,66.7
RCP00475,16.420210500000003,11,6,5,54.5,45.5
RCP00476,27.259842,14,8,6,57.1,42.9
RCP00477,26.1357265,10,4,6,40.0,60.0
RCP00478,6.46053,6,2,4,33.3,66.7
RCP00479,4.634250000000001,11,2,9,18.2,81.8
RCP00480,29.971204500000002,8,3,5,37.5,62.5
RCP00481,7.725922000000001,18,10,8,55.6,44.4
RCP00482,5.43413,18,11,7,61.1,38.9
RCP00483,31.841119999999997,9,5,4,55.6,44.4
RCP00484,3.2943999999999996,8,3,5,37.5,62.5
RCP00485,1.12106,8,5,3,62.5,37.5
RCP00486,26.039859999999994,12,6,6,50.0,50.0
RCP00487,19.468055,7,4,3,57.1,42.9
RCP00488,7.992949999999998,14,8,6,57.1,42.9
RCP00489,1.436469,6,3,3,50.0,50.0
RCP00490,2.1642900000000003,8,5,3,62.5,37.5
RCP00491,19.355614999999997,13,5,8,38.5,61.5
RCP00492,8.994269999999998,9,4,5,44.4,55.6
RCP00493,4.264615,9,5,4,55.6,44.4
RCP00494,52.027532999999984,15,7,8,46.7,53.3
RCP00495,10.858244000000001,19,11,8,57.9,42.1
RCP00496,10.187035,7,4,3,57.1,42.9
RCP00497,11.240025000000003,15,8,7,53.3,46.7
RCP00498,5.264239999999999,9,5,4,55.6,44.4
RCP00499,20.583599999999997,8,3,5,37.5,62.5
RCP00500,27.003120000000003,6,3,3,50.0,50.0
RCP00501,70.214479,12,6,6,50.0,50.0
RCP00502,3.7786849999999994,11,7,4,63.6,36.4
RCP00503,17.173738,10,4,6,40.0,60.0
RCP00504,42.995599999999996,8,3,5,37.5,62.5
RCP00505,14.608652500000002,14,5,9,35.7,64.3
RCP00506,3.171587,12,4,8,33.3,66.7
RCP00507,10.318719999999997,6,3,3,50.0,50.0
RCP00508,19.125379999999996,19,12,7,63.2,36.8
RCP00509,19.2805,10,7,3,70.0,30.0
RCP00510,22.48005,7,3,4,42.9,57.1
RCP00511,29.086463499999997,11,8,3,72.7,27.3
RCP00512,41.47260099999999,14,6,8,42.9,57.1
RCP00513,1.154585,9,4,5,44.4,55.6
RCP00514,23.994704999999996,10,7,3,70.0,30.0
RCP00515,5.623676,16,13,3,81.2,18.8
RCP00516,3.432843,8,4,4,50.0,50.0
RCP00517,55.004963999999994,9,5,4,55.6,44.4
RCP00518,23.244388500000003,17,11,6,64.7,35.3
RCP00519,26.075366,11,6,5,54.5,45.5
RCP00520,23.099025,15,7,8,46.7,53.3
RCP00521,24.0829,5,3,2,60.0,40.0
